ProductId,ProductName,PriceTableName,ListPrice,SalePrice,DESCR_TIPO_FAST,CODPROD,VLRUNIT
1467,C27830 - MANN,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),8181,8181,Distribuição,1467,81.81
1469,H12110/2X - MANN,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),6484,6484,Distribuição,1469,64.84
1476,PU999/1X - MANN,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),7244,7244,Distribuição,1476,72.44
1478,W1170 - MANN,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),6139,6139,Distribuição,1478,61.39
1490,PC949 - FILTRO ,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),2277,2277,Distribuição,1490,22.77
1491,PEL119 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),1620,1620,Distribuição,1491,16.2
1492,PEL211 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),2761,2761,Distribuição,1492,27.61
1493,PEL311 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),1344,1344,Distribuição,1493,13.44
1494,PEL313 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),2396,2396,Distribuição,1494,23.96
1495,PH346 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),718,718,Distribuição,1495,7.18
1496,PL366 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),1810,1810,Distribuição,1496,18.1
1497,PL442 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),2606,2606,Distribuição,1497,26.06
1499,PSC353 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),5509,5509,Distribuição,1499,55.09
1500,PSC410 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),3729,3729,Distribuição,1500,37.29
1501,PSC491 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),4575,4575,Distribuição,1501,45.75
1502,PSC496 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),2715,2715,Distribuição,1502,27.15
1503,PSC498/4 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),6745,6745,Distribuição,1503,67.45
1504,PSC744 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),5006,5006,Distribuição,1504,50.06
1505,PSC84 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),2495,2495,Distribuição,1505,24.95
1506,PSC881 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),6672,6672,Distribuição,1506,66.72
1507,PSC996 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),4928,4928,Distribuição,1507,49.28
1508,PSC999 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),4015,4015,Distribuição,1508,40.15
1509,PSD420 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),4899,4899,Distribuição,1509,48.99
1510,PSD450/1 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),4505,4505,Distribuição,1510,45.05
1511,PSD460/1 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),5064,5064,Distribuição,1511,50.64
1512,PSD470 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),7110,7110,Distribuição,1512,71.1
1513,PSD490/1 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),5936,5936,Distribuição,1513,59.36
1514,PSH173 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),5967,5967,Distribuição,1514,59.67
1515,PSH517 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),7159,7159,Distribuição,1515,71.59
1516,PSL129 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),1886,1886,Distribuição,1516,18.86
1517,PSL134 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),1458,1458,Distribuição,1517,14.58
1518,PSL135 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),1739,1739,Distribuição,1518,17.39
1519,PSL145 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),1119,1119,Distribuição,1519,11.19
1520,PSL146 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),1293,1293,Distribuição,1520,12.93
1521,PSL148 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),2027,2027,Distribuição,1521,20.27
1522,PSL152 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),1923,1923,Distribuição,1522,19.23
1523,PSL158 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),4464,4464,Distribuição,1523,44.64
1524,PSL 18M - TM3,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),939,939,Distribuição,1524,9.39
1525,PSL 20M - FILTRO BLINDADO TM4,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),985,985,Distribuição,1525,9.85
1526,PSL321 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),2292,2292,Distribuição,1526,22.92
1527,PSL323 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),4301,4301,Distribuição,1527,43.01
1528,PSL327 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),3325,3325,Distribuição,1528,33.25
